Step,# citizen coalition,# regulator coalition,# stakeholder coalition,Disruption,NGO Message,Num Cit,Talk span,Total power,Total preference,Total regulator preference,Total regulator sh preference,Total sh preference,Total utility
1,8.0,0.0,1.0,0.75,4.5,182.0,5.0,1291.8477925149994,6629.8885574220485,0.0,0.0,325.0,135093.48984368745
2,9.0,0.0,1.0,0.75,4.5,182.0,5.0,1310.0724604434993,6911.082450885482,0.0,0.0,325.0,140998.2630257362
3,6.0,0.0,1.0,0.75,4.5,182.0,5.0,1329.0637097009994,7225.362095564586,0.0,0.0,325.0,146928.69430618052
4,5.0,0.0,1.0,0.75,4.5,182.0,5.0,1347.1674241439996,7551.284561382952,0.0,0.0,325.0,152786.20226667065
5,5.0,0.0,1.0,0.75,4.5,182.0,5.0,1375.2114031419997,7895.965098912966,0.0,0.0,325.0,161951.81447304698
6,2.0,0.0,1.0,0.75,4.5,182.0,5.0,1388.0443721380002,8252.40860639177,0.0,0.0,325.0,166052.31889843557
7,1.0,0.0,1.0,0.75,4.5,182.0,5.0,1398.1467129929997,8624.680766995773,0.0,0.0,325.0,169509.57515599125
8,0.0,0.0,1.0,0.75,4.5,182.0,5.0,1398.1467129929997,9021.018194658851,0.0,0.0,325.0,169509.57515599125
9,0.0,0.0,1.0,0.75,4.5,182.0,5.0,1398.1467129929997,9424.43998599921,0.0,0.0,325.0,169509.57515599125
10,0.0,0.0,1.0,0.75,4.5,182.0,5.0,1398.1467129929997,9847.042474026957,0.0,0.0,325.0,169509.57515599125
11,0.0,0.0,1.0,0.75,4.5,182.0,5.0,1398.1467129929997,10271.301322205425,0.0,0.0,325.0,169509.57515599125
12,0.0,0.0,1.0,0.75,4.5,182.0,5.0,1398.1467129929997,10739.976425698387,0.0,0.0,325.0,169509.57515599125
13,0.0,0.0,1.0,0.75,4.5,182.0,5.0,1398.1467129929997,11229.69126010624,0.0,0.0,325.0,169509.57515599125
14,0.0,0.0,1.0,0.75,4.5,182.0,5.0,1398.1467129929997,11740.991744103036,0.0,0.0,325.0,169509.57515599125
15,0.0,0.0,1.0,0.75,4.5,182.0,5.0,1398.1467129929997,12288.464729366835,106.5,106.5,325.0,169509.57515599125
16,0.0,0.0,1.0,0.75,4.5,182.0,5.0,1398.1467129929997,12830.227698100858,106.5,106.5,325.0,169509.57515599125
17,0.0,0.0,1.0,0.75,4.5,182.0,5.0,1398.1467129929997,13422.662331256655,106.5,106.5,325.0,169509.57515599125
18,0.0,0.0,1.0,0.75,4.5,182.0,5.0,1398.1467129929997,14065.235978253253,106.5,106.5,325.0,169509.57515599125
19,0.0,0.0,1.0,0.75,4.5,182.0,5.0,1398.1467129929997,14781.062116428484,106.5,106.5,325.0,169509.57515599125
20,0.0,0.0,1.0,0.75,4.5,182.0,5.0,1398.1467129929997,15435.610890883385,106.5,106.5,325.0,169509.57515599125
21,0.0,1.0,1.0,0.75,4.5,182.0,5.0,1398.1467129929997,16175.232565066812,106.4999999980129,106.5,325.0,169509.57515599125
22,0.0,1.0,1.0,0.75,4.5,182.0,5.0,1398.1467129929997,16897.257129643833,94.28571428336221,106.5,325.0,169509.57515599125
23,0.0,0.0,1.0,0.75,4.5,182.0,5.0,1398.1467129929997,17672.012670007996,94.28571428336221,106.5,325.0,169509.57515599125
24,0.0,0.0,1.0,0.75,4.5,182.0,5.0,1398.1467129929997,18531.94581723511,94.28571428336221,106.5,325.0,169509.57515599125
25,0.0,0.0,1.0,0.75,4.5,182.0,5.0,1398.1467129929997,19422.105729152474,94.28571428336221,106.5,325.0,169509.57515599125
0,14.0,0.0,0.0,1.0,4.5,182.0,5.0,1282.7589871865002,6412.724770085699,0.0,0.0,0.0,132137.67248081326
1,8.0,0.0,1.0,1.0,4.5,182.0,5.0,1291.8477925150003,6693.448742904944,0.0,0.0,325.0,135036.35329940837
2,9.0,0.0,1.0,1.0,4.5,182.0,5.0,1309.9671480975,6991.527670417877,0.0,0.0,325.0,141000.12446658488
3,6.0,0.0,1.0,1.0,4.5,182.0,5.0,1328.7729800324998,7296.335712477456,0.0,0.0,325.0,146958.68271041982
4,5.0,0.0,1.0,1.0,4.5,182.0,5.0,1346.6954388159995,7624.625322158369,0.0,0.0,325.0,152671.31875193975
5,5.0,0.0,1.0,1.0,4.5,182.0,5.0,1375.1513086124992,7967.6907021439965,0.0,0.0,325.0,162204.62692304558
6,2.0,0.0,1.0,1.0,4.5,182.0,5.0,1389.0230828854992,8320.861253590507,0.0,0.0,325.0,167020.5019176614
7,1.0,0.0,1.0,1.0,4.5,182.0,5.0,1398.2015768859997,8695.998593030306,0.0,0.0,325.0,170095.1851251195
8,0.0,0.0,1.0,1.0,4.5,182.0,5.0,1398.2015768859997,9117.897362301643,0.0,0.0,325.0,170095.1851251195
9,0.0,0.0,1.0,1.0,4.5,182.0,5.0,1398.2015768859997,9536.02674007545,0.0,0.0,325.0,170095.1851251195
10,0.0,0.0,1.0,1.0,4.5,182.0,5.0,1398.2015768859997,9994.524961167099,0.0,0.0,325.0,170095.1851251195
11,0.0,0.0,1.0,1.0,4.5,182.0,5.0,1398.2015768859997,10481.970587948024,0.0,0.0,325.0,170095.1851251195
12,0.0,0.0,1.0,1.0,4.5,182.0,5.0,1398.2015768859997,10969.390827380554,0.0,0.0,325.0,170095.1851251195
13,0.0,0.0,1.0,1.0,4.5,182.0,5.0,1398.2015768859997,11477.187767015339,0.0,0.0,325.0,170095.1851251195
14,0.0,0.0,1.0,1.0,4.5,182.0,5.0,1398.2015768859997,12065.5600282434,0.0,0.0,325.0,170095.1851251195
15,0.0,0.0,1.0,1.0,4.5,182.0,5.0,1398.2015768859997,12614.725107669468,106.5,106.5,325.0,170095.1851251195
16,0.0,0.0,1.0,1.0,4.5,182.0,5.0,1398.2015768859997,13193.549271683562,106.5,106.5,325.0,170095.1851251195
17,0.0,0.0,1.0,1.0,4.5,182.0,5.0,1398.2015768859997,13799.804863395064,106.5,106.5,325.0,170095.1851251195
18,0.0,0.0,1.0,1.0,4.5,182.0,5.0,1398.2015768859997,14436.772398122746,106.5,106.5,325.0,170095.1851251195
19,0.0,0.0,1.0,1.0,4.5,182.0,5.0,1398.2015768859997,15156.70627299678,106.5,106.5,325.0,170095.1851251195
20,0.0,0.0,1.0,1.0,4.5,182.0,5.0,1398.2015768859997,15862.69063554096,106.5,106.5,325.0,170095.1851251195
21,0.0,1.0,1.0,1.0,4.5,182.0,5.0,1398.2015768859997,16588.565645388055,106.49999999801321,106.5,325.0,170095.1851251195
22,0.0,1.0,1.0,1.0,4.5,182.0,5.0,1398.2015768859997,17406.252780944324,94.28571428336257,106.5,325.0,170095.1851251195
23,0.0,0.0,1.0,1.0,4.5,182.0,5.0,1398.2015768859997,18234.233460516458,94.28571428336257,106.5,325.0,170095.1851251195
24,0.0,0.0,1.0,1.0,4.5,182.0,5.0,1398.2015768859997,19151.746647619042,94.28571428336257,106.5,325.0,170095.1851251195
25,0.0,0.0,1.0,1.0,4.5,182.0,5.0,1398.2015768859997,20071.495070556062,94.28571428336257,106.5,325.0,170095.1851251195
0,10.0,0.0,0.0,0.5,4.5,100.0,5.0,762.4899244689998,3770.955761128236,0.0,0.0,0.0,79171.10342486843
1,6.0,0.0,1.0,0.5,4.5,100.0,5.0,774.0594554854998,3934.6366884935705,0.0,0.0,325.0,82757.82927227922
2,6.0,0.0,1.0,0.5,4.5,100.0,5.0,800.7689215194999,4092.1486616917687,0.0,0.0,325.0,91386.22771256544
3,3.0,0.0,1.0,0.5,4.5,100.0,5.0,822.6019721609999,4274.4668423914,0.0,0.0,325.0,98540.94304841103
4,0.0,0.0,1.0,0.5,4.5,100.0,5.0,822.6019721609999,4450.934884084223,0.0,0.0,325.0,98540.94304841103
5,0.0,0.0,1.0,0.5,4.5,100.0,5.0,822.6019721609999,4627.711749151145,0.0,0.0,325.0,98540.94304841103
6,0.0,0.0,1.0,0.5,4.5,100.0,5.0,822.6019721609999,4815.146934679625,0.0,0.0,325.0,98540.94304841103
7,0.0,0.0,1.0,0.5,4.5,100.0,5.0,822.6019721609999,5026.194791035732,0.0,0.0,325.0,98540.94304841103
8,0.0,0.0,1.0,0.5,4.5,100.0,5.0,822.6019721609999,5236.347622219279,0.0,0.0,325.0,98540.94304841103
9,0.0,0.0,1.0,0.5,4.5,100.0,5.0,822.6019721609999,5471.375220229374,0.0,0.0,325.0,98540.94304841103
10,0.0,0.0,1.0,0.5,4.5,100.0,5.0,822.6019721609999,5734.384194410526,0.0,0.0,325.0,98540.94304841103
11,0.0,0.0,2.0,0.5,4.5,100.0,5.0,822.6019721609999,6000.070999275761,0.0,0.0,347.49173465581964,98540.94304841103
12,0.0,0.0,1.0,0.5,4.5,100.0,5.0,822.6019721609999,6251.847977903202,0.0,0.0,353.5374748477317,98540.94304841103
13,0.0,0.0,1.0,0.5,4.5,100.0,5.0,822.6019721609999,6534.626586976822,0.0,0.0,362.8056061417673,98540.94304841103
14,0.0,0.0,1.0,0.5,4.5,100.0,5.0,822.6019721609999,6836.848450925306,0.0,0.0,363.2341775038743,98540.94304841103
15,0.0,0.0,1.0,0.5,4.5,100.0,5.0,822.6019721609999,7127.770684815143,106.5,106.5,370.24787832184575,98540.94304841103
16,0.0,0.0,1.0,0.5,4.5,100.0,5.0,822.6019721609999,7457.596955114713,106.5,106.5,369.92787826718006,98540.94304841103
17,0.0,0.0,1.0,0.5,4.5,100.0,5.0,822.6019721609999,7806.840391688936,106.5,106.5,370.2031075686832,98540.94304841103
18,0.0,0.0,1.0,0.5,4.5,100.0,5.0,822.6019721609999,8120.208858292349,106.5,106.5,369.8552814342202,98540.94304841103
19,0.0,0.0,1.0,0.5,4.5,100.0,5.0,822.6019721609999,8499.907245911094,106.5,106.5,369.87090640148307,98540.94304841103
20,0.0,0.0,0.0,0.5,4.5,100.0,5.0,822.6019721609999,8900.201811742505,106.5,106.5,369.87090640148307,98540.94304841103
21,0.0,1.0,0.0,0.5,4.5,100.0,5.0,822.6019721609999,9290.199260014737,106.49999999657751,106.5,369.87090640148307,98540.94304841103
22,0.0,1.0,0.0,0.5,4.5,100.0,5.0,822.6019721609999,9711.699309714115,94.28571428166319,106.5,369.87090640148307,98540.94304841103
23,0.0,0.0,0.0,0.5,4.5,100.0,5.0,822.6019721609999,10175.822255287536,94.28571428166319,106.5,369.87090640148307,98540.94304841103
24,0.0,0.0,0.0,0.5,4.5,100.0,5.0,822.6019721609999,10680.150565788023,94.28571428166319,106.5,369.87090640148307,98540.94304841103
25,0.0,0.0,0.0,0.5,4.5,100.0,5.0,822.6019721609999,11185.678101953006,94.28571428166319,106.5,369.87090640148307,98540.94304841103
0,14.0,0.0,0.0,0.5,4.5,182.0,5.0,1282.7954257630004,6284.625021482983,0.0,0.0,0.0,132319.44857685157
1,8.0,0.0,1.0,0.5,4.5,182.0,5.0,1291.8478301725004,6563.147074058733,0.0,0.0,325.0,135173.30546311438
2,9.0,0.0,1.0,0.5,4.5,182.0,5.0,1310.0420980924996,6851.704784324463,0.0,0.0,325.0,141017.8422297644
3,6.0,0.0,1.0,0.5,4.5,182.0,5.0,1328.7729800324996,7158.488426328822,0.0,0.0,325.0,146852.89219728758
4,5.0,0.0,1.0,0.5,4.5,182.0,5.0,1346.9670646444993,7466.976334515905,0.0,0.0,325.0,152456.22824039595
5,5.0,0.0,1.0,0.5,4.5,182.0,5.0,1375.2114031419997,7801.233934690087,0.0,0.0,325.0,161491.1895394186
6,2.0,0.0,1.0,0.5,4.5,182.0,5.0,1388.0443721379997,8152.590296224659,0.0,0.0,325.0,165372.38688677852
7,1.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929997,8530.282107926234,0.0,0.0,325.0,168673.22958196202
8,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929997,8920.397710736783,0.0,0.0,325.0,168673.22958196202
9,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929997,9336.374399435073,0.0,0.0,325.0,168673.22958196202
10,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929997,9789.664890642993,0.0,0.0,325.0,168673.22958196202
11,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929997,10247.637166580604,0.0,0.0,325.0,168673.22958196202
12,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929997,10713.257836720997,0.0,0.0,325.0,168673.22958196202
13,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929997,11213.10405809826,0.0,0.0,325.0,168673.22958196202
14,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929997,11746.944582480624,0.0,0.0,325.0,168673.22958196202
15,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929997,12283.39076237847,106.5,106.5,325.0,168673.22958196202
16,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929997,12839.627755368287,106.5,106.5,325.0,168673.22958196202
17,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929997,13437.916461420342,106.5,106.5,325.0,168673.22958196202
18,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929997,14092.738683188414,106.5,106.5,325.0,168673.22958196202
19,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929997,14786.742243866274,106.5,106.5,325.0,168673.22958196202
20,0.0,0.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929997,15496.582648534757,106.5,106.5,325.0,168673.22958196202
21,0.0,1.0,1.0,0.5,4.5,182.0,5.0,1398.1467129929997,16240.503220856463,106.49999999801291,106.5,325.0,168673.22958196202
