Step,AgentID,Stakeholder preference,Agent Type
11,311,56.0,Stakeholder
11,312,66.0,Stakeholder
11,313,43.392156627741386,Stakeholder
11,314,47.0,Stakeholder
11,315,54.0,Stakeholder
11,316,28.0,Stakeholder
12,301,28.0,Stakeholder
12,302,36.0,Stakeholder
12,303,36.0,Stakeholder
12,304,36.0,Stakeholder
12,305,33.0,Stakeholder
12,306,34.0,Stakeholder
12,307,36.0,Stakeholder
12,308,34.0,Stakeholder
12,309,38.0,Stakeholder
12,310,43.392156627741386,Stakeholder
12,311,56.0,Stakeholder
12,312,66.0,Stakeholder
12,313,43.392156627741386,Stakeholder
12,314,47.0,Stakeholder
12,315,54.0,Stakeholder
12,316,28.0,Stakeholder
13,301,28.0,Stakeholder
13,302,36.0,Stakeholder
13,303,36.0,Stakeholder
13,304,36.0,Stakeholder
13,305,33.0,Stakeholder
13,306,34.0,Stakeholder
13,307,36.0,Stakeholder
13,308,34.0,Stakeholder
13,309,38.0,Stakeholder
13,310,43.392156627741386,Stakeholder
13,311,56.0,Stakeholder
13,312,66.0,Stakeholder
13,313,43.392156627741386,Stakeholder
13,314,47.0,Stakeholder
13,315,54.0,Stakeholder
13,316,28.0,Stakeholder
14,301,28.0,Stakeholder
14,302,36.0,Stakeholder
14,303,36.0,Stakeholder
14,304,36.0,Stakeholder
14,305,33.0,Stakeholder
14,306,34.0,Stakeholder
14,307,36.0,Stakeholder
14,308,34.0,Stakeholder
14,309,38.0,Stakeholder
14,310,43.392156627741386,Stakeholder
14,311,56.0,Stakeholder
14,312,66.0,Stakeholder
14,313,43.392156627741386,Stakeholder
14,314,47.0,Stakeholder
14,315,54.0,Stakeholder
14,316,28.0,Stakeholder
15,301,28.0,Stakeholder
15,302,36.0,Stakeholder
15,303,36.0,Stakeholder
15,304,36.0,Stakeholder
15,305,33.0,Stakeholder
15,306,34.0,Stakeholder
15,307,36.0,Stakeholder
15,308,34.0,Stakeholder
15,309,38.0,Stakeholder
15,310,43.392156627741386,Stakeholder
15,311,56.0,Stakeholder
15,312,66.0,Stakeholder
15,313,43.392156627741386,Stakeholder
15,314,47.0,Stakeholder
15,315,54.0,Stakeholder
15,316,28.0,Stakeholder
16,301,28.0,Stakeholder
16,302,36.0,Stakeholder
16,303,36.0,Stakeholder
16,304,36.0,Stakeholder
16,305,33.0,Stakeholder
16,306,34.0,Stakeholder
16,307,36.0,Stakeholder
16,308,34.0,Stakeholder
16,309,38.0,Stakeholder
16,310,43.392156627741386,Stakeholder
16,311,56.0,Stakeholder
16,312,66.0,Stakeholder
16,313,43.392156627741386,Stakeholder
16,314,47.0,Stakeholder
16,315,54.0,Stakeholder
16,316,28.0,Stakeholder
17,301,28.0,Stakeholder
17,302,36.0,Stakeholder
17,303,36.0,Stakeholder
17,304,36.0,Stakeholder
17,305,33.0,Stakeholder
17,306,34.0,Stakeholder
17,307,36.0,Stakeholder
17,308,34.0,Stakeholder
17,309,38.0,Stakeholder
17,310,43.392156627741386,Stakeholder
17,311,56.0,Stakeholder
17,312,66.0,Stakeholder
17,313,43.392156627741386,Stakeholder
17,314,47.0,Stakeholder
17,315,54.0,Stakeholder
17,316,28.0,Stakeholder
18,301,28.0,Stakeholder
18,302,36.0,Stakeholder
18,303,36.0,Stakeholder
18,304,36.0,Stakeholder
18,305,33.0,Stakeholder
18,306,34.0,Stakeholder
18,307,36.0,Stakeholder
18,308,34.0,Stakeholder
18,309,38.0,Stakeholder
18,310,43.392156627741386,Stakeholder
18,311,56.0,Stakeholder
18,312,66.0,Stakeholder
18,313,43.392156627741386,Stakeholder
18,314,47.0,Stakeholder
18,315,54.0,Stakeholder
18,316,28.0,Stakeholder
19,301,28.0,Stakeholder
19,302,36.0,Stakeholder
19,303,36.0,Stakeholder
19,304,36.0,Stakeholder
19,305,33.0,Stakeholder
19,306,34.0,Stakeholder
19,307,36.0,Stakeholder
19,308,34.0,Stakeholder
19,309,38.0,Stakeholder
19,310,43.392156627741386,Stakeholder
19,311,56.0,Stakeholder
19,312,66.0,Stakeholder
19,313,43.392156627741386,Stakeholder
19,314,47.0,Stakeholder
19,315,54.0,Stakeholder
19,316,28.0,Stakeholder
20,301,28.0,Stakeholder
20,302,36.0,Stakeholder
20,303,36.0,Stakeholder
20,304,36.0,Stakeholder
20,305,33.0,Stakeholder
20,306,34.0,Stakeholder
20,307,36.0,Stakeholder
20,308,34.0,Stakeholder
20,309,38.0,Stakeholder
20,310,43.392156627741386,Stakeholder
20,311,56.0,Stakeholder
20,312,66.0,Stakeholder
20,313,43.392156627741386,Stakeholder
20,314,47.0,Stakeholder
20,315,54.0,Stakeholder
20,316,28.0,Stakeholder
21,301,28.0,Stakeholder
21,302,36.0,Stakeholder
21,303,36.0,Stakeholder
21,304,36.0,Stakeholder
21,305,33.0,Stakeholder
21,306,34.0,Stakeholder
21,307,36.0,Stakeholder
21,308,34.0,Stakeholder
21,309,38.0,Stakeholder
21,310,43.392156627741386,Stakeholder
21,311,56.0,Stakeholder
21,312,66.0,Stakeholder
21,313,43.392156627741386,Stakeholder
21,314,47.0,Stakeholder
21,315,54.0,Stakeholder
21,316,28.0,Stakeholder
22,301,28.0,Stakeholder
22,302,36.0,Stakeholder
22,303,36.0,Stakeholder
22,304,36.0,Stakeholder
22,305,33.0,Stakeholder
22,306,34.0,Stakeholder
22,307,36.0,Stakeholder
22,308,34.0,Stakeholder
22,309,38.0,Stakeholder
22,310,43.392156627741386,Stakeholder
22,311,56.0,Stakeholder
22,312,66.0,Stakeholder
22,313,43.392156627741386,Stakeholder
22,314,47.0,Stakeholder
22,315,54.0,Stakeholder
22,316,28.0,Stakeholder
23,301,28.0,Stakeholder
23,302,36.0,Stakeholder
23,303,36.0,Stakeholder
23,304,36.0,Stakeholder
23,305,33.0,Stakeholder
23,306,34.0,Stakeholder
23,307,36.0,Stakeholder
23,308,34.0,Stakeholder
23,309,38.0,Stakeholder
23,310,43.392156627741386,Stakeholder
23,311,56.0,Stakeholder
23,312,66.0,Stakeholder
23,313,43.392156627741386,Stakeholder
23,314,47.0,Stakeholder
23,315,54.0,Stakeholder
23,316,28.0,Stakeholder
24,301,28.0,Stakeholder
24,302,36.0,Stakeholder
24,303,36.0,Stakeholder
24,304,36.0,Stakeholder
24,305,33.0,Stakeholder
24,306,34.0,Stakeholder
24,307,36.0,Stakeholder
24,308,34.0,Stakeholder
24,309,38.0,Stakeholder
24,310,43.392156627741386,Stakeholder
24,311,56.0,Stakeholder
24,312,66.0,Stakeholder
24,313,43.392156627741386,Stakeholder
24,314,47.0,Stakeholder
24,315,54.0,Stakeholder
24,316,28.0,Stakeholder
25,301,28.0,Stakeholder
25,302,36.0,Stakeholder
25,303,36.0,Stakeholder
25,304,36.0,Stakeholder
25,305,33.0,Stakeholder
25,306,34.0,Stakeholder
25,307,36.0,Stakeholder
25,308,34.0,Stakeholder
25,309,38.0,Stakeholder
25,310,43.392156627741386,Stakeholder
25,311,56.0,Stakeholder
25,312,66.0,Stakeholder
25,313,43.392156627741386,Stakeholder
25,314,47.0,Stakeholder
25,315,54.0,Stakeholder
25,316,28.0,Stakeholder
