Step,# citizen coalitions,# citizens in coalition,# regulator coalitions,# regulators in coalition,# stakeholder coalitions,# stakeholders in coalition,Acceptable range,Disruption,Initial number,NGO message,Need,Num Properties,Procedure,Spatial decay rate,Sponsor message,Talk span,Total power,Total preference,Total regulator preference,Total regulator sh preference,Total sh preference,Total utility
15,24,72,0,0,17,10,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,71.0,71.0,620.237806574376,0
16,25,75,0,0,18,11,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,71.0,71.0,619.0928003076215,0
17,26,78,0,0,19,12,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,71.0,71.0,616.973795019236,0
18,27,81,0,0,20,13,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,71.0,71.0,615.0361039639889,0
19,29,87,0,0,21,13,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,71.0,71.0,615.0361039639889,0
20,29,87,1,2,21,13,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,70.99999998204697,71.0,615.0361039639889,0
21,29,87,2,4,21,13,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,67.3999999744636,71.0,615.0361039639889,0
22,29,87,2,4,21,13,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,67.3999999744636,71.0,615.0361039639889,0
23,29,87,2,4,21,13,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,67.3999999744636,71.0,615.0361039639889,0
24,29,87,2,4,21,13,700,0.5,200,4.5,3.5,200,3.5,strong,2.5,300,0,0,67.3999999744636,71.0,615.0361039639889,0
0,6,14,0,0,1,0,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
1,8,20,0,0,2,0,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
2,9,24,0,0,3,0,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
3,10,28,0,0,4,0,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
4,11,32,0,0,5,0,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
5,12,36,0,0,6,0,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
6,13,39,0,0,8,3,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,0.0,0.0,646.4671676639584,0
7,14,42,0,0,9,4,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,0.0,0.0,644.3355989627065,0
8,15,45,0,0,10,5,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,0.0,0.0,642.7244711027848,0
9,16,48,0,0,11,6,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,0.0,0.0,641.4200950355385,0
10,17,51,0,0,12,7,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,0.0,0.0,640.1247927095006,0
11,19,57,0,0,13,7,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,0.0,0.0,640.1247927095006,0
12,20,60,0,0,14,8,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,0.0,0.0,639.0691264303559,0
13,21,63,0,0,15,9,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,0.0,0.0,637.8649232522329,0
14,22,66,0,0,16,10,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,71.0,71.0,636.0124413879763,0
15,23,69,0,0,17,11,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,71.0,71.0,635.2727598464448,0
16,26,77,0,0,18,11,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,71.0,71.0,635.2727598464448,0
17,27,81,0,0,19,11,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,71.0,71.0,635.2727598464448,0
18,29,87,0,0,20,11,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,71.0,71.0,635.2727598464448,0
19,31,93,0,0,21,11,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,71.0,71.0,635.2727598464448,0
20,31,93,1,2,21,11,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,70.99999998876883,71.0,635.2727598464448,0
21,31,93,2,4,21,11,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,67.39999998402479,71.0,635.2727598464448,0
22,31,93,2,4,21,11,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,67.39999998402479,71.0,635.2727598464448,0
23,31,93,2,4,21,11,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,67.39999998402479,71.0,635.2727598464448,0
24,31,93,2,4,21,11,700,0.5,400,4.5,3.5,400,3.5,strong,2.5,300,0,0,67.39999998402479,71.0,635.2727598464448,0
0,8,18,0,0,1,0,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
1,12,28,0,0,2,0,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
2,13,32,0,0,3,0,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
3,14,36,0,0,4,0,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
4,15,40,0,0,5,0,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
5,16,44,0,0,6,0,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
6,17,48,0,0,7,0,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
7,18,52,0,0,8,0,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
8,19,56,0,0,9,0,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
9,20,60,0,0,11,2,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,0.0,0.0,648.7843134722488,0
10,21,63,0,0,12,3,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,0.0,0.0,647.1318550827934,0
11,23,69,0,0,13,3,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,0.0,0.0,647.1318550827934,0
12,25,75,0,0,14,3,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,0.0,0.0,647.1318550827934,0
13,27,81,0,0,15,3,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,0.0,0.0,647.1318550827934,0
14,28,84,0,0,16,4,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,71.0,71.0,645.6615615836145,0
15,29,87,0,0,17,5,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,71.0,71.0,644.1685418810382,0
16,30,90,0,0,18,6,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,71.0,71.0,643.3551031554168,0
17,31,93,0,0,19,7,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,71.0,71.0,642.0670189279735,0
18,32,96,0,0,20,8,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,71.0,71.0,641.2514543846689,0
19,33,99,0,0,21,9,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,71.0,71.0,640.6044213690218,0
20,33,99,1,2,21,9,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,70.999999992043,71.0,640.6044213690218,0
21,33,99,2,4,21,9,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,67.39999998868196,71.0,640.6044213690218,0
22,33,99,2,4,21,9,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,67.39999998868196,71.0,640.6044213690218,0
23,33,99,2,4,21,9,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,67.39999998868196,71.0,640.6044213690218,0
24,33,99,2,4,21,9,700,0.5,600,4.5,3.5,600,3.5,strong,2.5,300,0,0,67.39999998868196,71.0,640.6044213690218,0
0,8,18,0,0,1,0,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
1,13,30,0,0,2,0,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
2,14,34,0,0,3,0,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
3,15,38,0,0,4,0,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
4,16,42,0,0,5,0,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
5,17,46,0,0,6,0,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
6,18,50,0,0,7,0,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
7,19,54,0,0,8,0,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
8,20,58,0,0,9,0,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
9,21,62,0,0,10,0,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
10,22,66,0,0,11,0,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
11,23,69,0,0,13,3,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,0.0,0.0,647.803405708621,0
12,26,77,0,0,14,3,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,0.0,0.0,647.803405708621,0
13,28,83,0,0,15,3,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,0.0,0.0,647.803405708621,0
14,31,91,0,0,16,3,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,71.0,71.0,647.803405708621,0
15,33,97,0,0,17,3,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,71.0,71.0,647.803405708621,0
16,34,101,0,0,18,3,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,71.0,71.0,647.803405708621,0
17,36,107,0,0,19,3,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,71.0,71.0,647.803405708621,0
18,38,113,0,0,20,3,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,71.0,71.0,647.803405708621,0
19,39,117,0,0,21,3,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,71.0,71.0,647.803405708621,0
20,39,117,1,2,21,3,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,70.99999999510362,71.0,647.803405708621,0
21,39,117,2,4,21,3,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,67.39999999303538,71.0,647.803405708621,0
22,39,117,2,4,21,3,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,67.39999999303538,71.0,647.803405708621,0
23,39,117,2,4,21,3,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,67.39999999303538,71.0,647.803405708621,0
24,39,117,2,4,21,3,700,0.5,1000,4.5,3.5,1000,3.5,strong,2.5,300,0,0,67.39999999303538,71.0,647.803405708621,0
0,9,20,0,0,1,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,0.0,0.0,650,0
1,14,32,0,0,2,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,0.0,0.0,650,0
2,18,42,0,0,3,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,0.0,0.0,650,0
3,21,50,0,0,4,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,0.0,0.0,650,0
4,24,58,0,0,5,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,0.0,0.0,650,0
5,27,66,0,0,6,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,0.0,0.0,650,0
6,31,76,0,0,7,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,0.0,0.0,650,0
7,34,84,0,0,8,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,0.0,0.0,650,0
8,37,94,0,0,10,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,0.0,0.0,650,0
9,40,102,0,0,11,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,0.0,0.0,650,0
10,43,110,0,0,12,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,0.0,0.0,650,0
11,46,118,0,0,13,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,0.0,0.0,650,0
12,51,130,0,0,14,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,0.0,0.0,650,0
13,54,138,0,0,15,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,0.0,0.0,650,0
14,57,146,0,0,16,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,71.0,71.0,650,0
15,60,154,0,0,17,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,71.0,71.0,650,0
16,62,160,0,0,18,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,71.0,71.0,650,0
17,64,166,0,0,19,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,71.0,71.0,650,0
18,65,170,0,0,20,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,71.0,71.0,650,0
19,66,174,0,0,21,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,71.0,71.0,650,0
20,66,174,1,2,21,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,70.99999999668798,71.0,650,0
21,66,174,2,4,21,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,67.39999999528898,71.0,650,0
22,66,174,2,4,21,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,67.39999999528898,71.0,650,0
23,66,174,2,4,21,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,67.39999999528898,71.0,650,0
24,66,174,2,4,21,0,700,0.5,1500,4.5,3.5,1500,3.5,strong,2.5,300,0,0,67.39999999528898,71.0,650,0
0,3,6,0,0,1,2,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,0.0,0.0,648.7843104928976,0
1,4,9,0,0,2,3,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,0.0,0.0,670.3319628922155,0
2,5,12,0,0,3,4,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,0.0,0.0,664.7350231603461,0
3,6,15,0,0,4,5,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,0.0,0.0,644.4021576998982,0
4,7,18,0,0,5,6,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,0.0,0.0,629.2385272436528,0
5,8,21,0,0,6,7,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,0.0,0.0,611.7717821907247,0
6,9,24,0,0,7,8,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,0.0,0.0,603.3706391452952,0
7,10,27,0,0,8,9,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,0.0,0.0,594.4778699874332,0
8,11,31,0,0,9,9,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,0.0,0.0,594.4778699874332,0
9,12,34,0,0,10,10,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,0.0,0.0,584.5079476636541,0
10,13,37,0,0,11,11,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,0.0,0.0,579.8276326420453,0
11,14,41,0,0,12,11,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,0.0,0.0,579.8276326420453,0
12,15,44,0,0,13,12,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,0.0,0.0,570.1013438754081,0
13,17,50,0,0,14,12,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,0.0,0.0,570.1013438754081,0
14,18,53,0,0,15,13,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,71.0,71.0,560.6399845257062,0
15,19,56,0,0,16,14,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,71.0,71.0,550.3288940254084,0
16,20,59,0,0,17,15,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,71.0,71.0,542.3729053774246,0
17,20,60,0,0,18,16,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,71.0,71.0,539.6102635032437,0
18,20,60,0,0,18,16,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,71.0,71.0,539.6102635032437,0
19,20,60,0,0,18,16,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,71.0,71.0,539.6102635032437,0
20,20,60,1,2,18,16,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,70.99999994858763,71.0,539.6102635032437,0
21,20,60,2,4,18,16,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,67.39999992687103,71.0,539.6102635032437,0
22,20,60,2,4,18,16,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,67.39999992687103,71.0,539.6102635032437,0
23,20,60,2,4,18,16,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,67.39999992687103,71.0,539.6102635032437,0
24,20,60,2,4,18,16,100,0.5,500,4.5,3.5,41,3.5,strong,2.5,300,0,0,67.39999992687103,71.0,539.6102635032437,0
0,5,12,0,0,1,0,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
1,8,20,0,0,2,0,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
2,9,24,0,0,3,0,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
3,10,28,0,0,4,0,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
4,11,32,0,0,5,0,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
5,12,36,0,0,6,0,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
6,13,39,0,0,8,3,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,0.0,0.0,645.8980349432899,0
7,14,42,0,0,9,4,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,0.0,0.0,643.2000699144486,0
8,15,45,0,0,10,5,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,0.0,0.0,641.2063061588614,0
9,16,48,0,0,11,6,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,0.0,0.0,639.5474064485579,0
10,17,51,0,0,12,7,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,0.0,0.0,637.8651570308451,0
11,18,54,0,0,13,8,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,0.0,0.0,636.5071601843897,0
12,20,60,0,0,14,8,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,0.0,0.0,636.5071601843897,0
13,21,63,0,0,15,9,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,0.0,0.0,635.0321035024837,0
14,22,66,0,0,16,10,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,71.0,71.0,634.0156276307539,0
15,24,72,0,0,17,10,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,71.0,71.0,634.0156276307539,0
16,25,75,0,0,18,11,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,71.0,71.0,632.2248488482724,0
17,27,81,0,0,19,11,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,71.0,71.0,632.2248488482724,0
18,29,87,0,0,20,11,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,71.0,71.0,632.2248488482724,0
19,30,90,0,0,21,12,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,71.0,71.0,630.702677735466,0
20,30,90,1,2,21,12,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,70.99999998679795,71.0,630.702677735466,0
21,30,90,2,4,21,12,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,67.39999998122138,71.0,630.702677735466,0
22,30,90,2,4,21,12,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,67.39999998122138,71.0,630.702677735466,0
23,30,90,2,4,21,12,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,67.39999998122138,71.0,630.702677735466,0
24,30,90,2,4,21,12,300,0.5,500,4.5,3.5,332,3.5,strong,2.5,300,0,0,67.39999998122138,71.0,630.702677735466,0
0,5,12,0,0,1,0,500,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
1,8,20,0,0,2,0,500,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
2,9,24,0,0,3,0,500,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
3,11,30,0,0,4,0,500,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
4,12,34,0,0,5,0,500,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
5,14,40,0,0,6,0,500,0.5,500,4.5,3.5,500,3.5,strong,2.5,300,0,0,0.0,0.0,650.0,0
