id,LAND USE,zip,population,power,ideology,lat,lon,,ideology,ideology
1041,SFR,97211-1270,1,0.20049495,2,45.59236412,-122.6660146,,2,200
1042,SFR,97211-1270,1,0.191397483,2,45.5922337,-122.6659471,,2,200
1043,SFR,97211-1270,1,0.188802501,0,45.59211135,-122.6658877,,0,0
1044,SFR,97211-1270,1,0.196807871,0,45.59198634,-122.6658243,,0,0
1045,SFR,97211-1275,1,0.222938041,2,45.59183124,-122.6657558,,2,200
1046,SFR,97211-1269,1,0.213560035,1,45.59211856,-122.665505,,1,100
1047,SFR,97211-1276,1,0.203671048,2,45.59232697,-122.6653644,,2,200
1048,SFR,97211-1269,1,0.187169365,2,45.59231138,-122.66561,,2,200
1049,SFR,97211-1269,1,0.233548413,1,45.59250344,-122.6656096,,1,100
1050,SFR,97211-1276,1,0.235812761,2,45.5925162,-122.6652232,,2,200
1051,SFR,97211-1268,1,0.214561959,1,45.59222133,-122.6650009,,1,100
1052,SFR,97211-1268,1,0.195234851,0,45.59206574,-122.6651044,,0,0
1053,SFR,97211-1268,1,0.212157342,1,45.59194031,-122.665209,,1,100
1054,SFR,97211-1268,1,0.20180747,2,45.59182043,-122.6653099,,2,200
1055,SFR,97211-1268,1,0.189063001,1,45.59168041,-122.6654609,,1,100
1056,SFR,97211-1268,1,0.207819013,0,45.59155008,-122.6655341,,0,0
1057,SFR,97211-1268,1,0.198541199,0,45.59141709,-122.6656032,,0,0
1058,SFR,97211-1268,1,0.207358128,2,45.59128431,-122.6656607,,2,200
1059,SFR,97211-1268,1,0.224981965,2,45.59113257,-122.6657057,,2,200
1062,SFR,97211-1261,1,0.201126162,0,45.59213495,-122.6637588,,0,0
1063,SFR,97211-1261,1,0.211095303,2,45.59198715,-122.663886,,2,200
1064,SFR,97211-1261,1,0.207788955,2,45.59186669,-122.6640182,,2,200
1065,SFR,97211-1261,1,0.353398525,1,45.59162611,-122.6641184,,1,100
1226,SFR,97211-1234,1,0.365421609,1,45.59479805,-122.6591356,,1,100
1228,SFR,97211-1234,1,0.397162552,0,45.59464877,-122.6589032,,0,0
1230,SFR,97211-1234,1,0.378065887,1,45.59452149,-122.6586678,,1,100
1232,SFR,97211-1240,1,0.440746233,2,45.59439421,-122.6584324,,2,200
1251,SFR,97211-1721,1,0.250270519,1,45.59317158,-122.6354424,,1,100
1259,SFR,97211-1539,1,0.66439564,1,45.60193658,-122.6456572,,1,100
1260,SFR,97211-1539,1,0.809654537,2,45.6020197,-122.6460551,,2,200
1261,SFR,97211-1537,1,1.05291159,1,45.60211393,-122.6464456,,1,100
1262,SFR,97211-1537,1,0.950955835,2,45.60219171,-122.6468355,,2,200
1264,SFR,97211-1535,1,0.619649727,2,45.60234178,-122.6476151,,2,200
1265,SFR,97211-1535,1,0.842778134,0,45.60241673,-122.6480088,,0,0
1266,SFR,97211-1533,1,1.182009458,2,45.60250273,-122.648399,,2,200
1267,SFR,97211-1533,1,0.688451828,0,45.60259421,-122.6487894,,0,0
1268,SFR,97211-1531,1,2.123517153,1,45.60268569,-122.6491798,,1,100
1269,SFR,97211-1531,1,0.675997916,1,45.60277716,-122.6495702,,1,100
1270,SFR,97211-1529,1,0.532943251,2,45.60286864,-122.6499607,,2,200
1271,SFR,97211-1529,1,0.604200064,2,45.60296286,-122.6503512,,2,200
1272,SFR,97211-1529,1,0.671920087,0,45.60304884,-122.6507414,,0,0
1273,SFR,97211-1530,1,0.693982446,1,45.59988023,-122.650289,,1,100
1274,SFR,97211-1530,1,0.405388346,0,45.60008448,-122.6506641,,0,0
1275,SFR,97211-1530,1,0.752524848,1,45.59974576,-122.650878,,1,100
1276,SFR,97211-1528,1,0.309273806,2,45.60009586,-122.6510828,,2,200
1277,SFR,97211-1532,1,0.461506092,2,45.59995293,-122.6490411,,2,200
1278,SFR,97211-1532,1,0.461506092,2,45.59995326,-122.64917,,2,200
1279,SFR,97211-1532,1,0.461506092,2,45.59993828,-122.6493844,,2,200
1280,SFR,97211-1532,1,0.519317089,1,45.59993862,-122.6495134,,1,100
1281,SFR,97211-1532,1,0.466535749,1,45.59991541,-122.6497275,,1,100
1282,SFR,97211-1532,1,0.418784065,1,45.5999353,-122.6498377,,1,100
1283,SFR,97211-1532,1,0.460273726,0,45.59988658,-122.6499492,,0,0
1285,SFR,97211-1527,1,0.506803062,2,45.60069309,-122.6511289,,2,200
1305,SFR,97211-1072,1,0.405408384,0,45.60191493,-122.6607433,,0,0
1306,SFR,97211-1053,1,0.440866464,2,45.60141514,-122.6595986,,2,200
1307,SFR,97211-1053,1,0.440215213,0,45.60142723,-122.6596851,,0,0
1308,SFR,97211-1053,1,0.431268035,2,45.60143955,-122.6597598,,2,200
1309,SFR,97211-1053,1,0.437229481,2,45.60145186,-122.6598345,,2,200
1310,SFR,97211-1053,1,0.434253767,0,45.60146396,-122.659921,,0,0
1311,SFR,97211-1053,1,0.441547772,1,45.60147857,-122.6600192,,1,100
1312,SFR,97211-1053,1,0.43579673,2,45.60149348,-122.6601019,,2,200
1313,SFR,97211-1053,1,0.437650289,0,45.60150573,-122.6601805,,0,0
1314,SFR,97211-1053,1,0.437650289,2,45.60151804,-122.6602553,,2,200
1315,SFR,97211-1053,1,0.439944694,1,45.60152992,-122.6603534,,1,100
1316,SFR,97211-1051,1,0.431388265,1,45.60157895,-122.6606641,,1,100
1317,SFR,97211-1051,1,0.444643716,0,45.60159364,-122.6607584,,0,0
1318,SFR,97211-1051,1,0.429995592,0,45.60160596,-122.6608332,,0,0
1319,SFR,97211-1051,1,0.430466496,2,45.60162079,-122.6609197,,2,200
1320,SFR,97211-1051,1,0.464191247,1,45.60163548,-122.6610141,,1,100
1321,SFR,97211-1078,1,0.356684835,1,45.60136771,-122.6611016,,1,100
1322,SFR,97211-1078,1,0.356684835,0,45.6013531,-122.6610033,,0,0
1323,SFR,97211-1078,1,0.342898365,1,45.60133826,-122.6609168,,1,100
1324,SFR,97211-1078,1,0.35858849,1,45.60132595,-122.660842,,1,100
1325,SFR,97211-1078,1,0.399386823,0,45.60131407,-122.6607439,,0,0
1326,SFR,97211-1084,1,0.264868548,1,45.60100092,-122.6610563,,1,100
1327,SFR,97211-1084,1,0.279316287,2,45.6009863,-122.6609581,,2,200
1328,SFR,97211-1084,1,0.28466656,2,45.60096887,-122.6608636,,2,200
1329,SFR,97211-1068,1,0.279867345,2,45.60095418,-122.6607692,,2,200
1330,SFR,97211-1068,1,0.284205675,2,45.60093949,-122.6606749,,2,200
1331,SFR,97211-1068,1,0.279246153,2,45.6009248,-122.6605805,,2,200
1332,SFR,97211-1068,1,0.279316287,2,45.60091019,-122.6604822,,2,200
1333,SFR,97211-1068,1,0.32563522,1,45.6008955,-122.6603879,,1,100
1334,SFR,97211-1068,1,0.353839372,1,45.60086443,-122.660289,,1,100
1335,SFR,97211-1085,1,0.278985652,2,45.60064667,-122.6603432,,2,200
1336,SFR,97211-1085,1,0.283754809,1,45.60066114,-122.6604493,,1,100
1337,SFR,97211-1085,1,0.321367025,2,45.60067583,-122.6605437,,2,200
1338,SFR,97211-1085,1,0.321367025,2,45.60069045,-122.6606419,,2,200
1339,SFR,97211-1085,1,0.316918483,2,45.60070514,-122.6607363,,2,200
1340,SFR,97211-1085,1,0.319884178,1,45.60071983,-122.6608307,,1,100
1341,SFR,97211-1035,1,0.321367025,0,45.60073451,-122.660925,,0,0
1342,SFR,97211-1035,1,0.321367025,0,45.60074913,-122.6610233,,0,0
1343,SFR,97211-1075,1,0.278785268,1,45.60041495,-122.6609949,,1,100
1344,SFR,97211-1076,1,0.279506653,1,45.60040026,-122.6609006,,1,100
1345,SFR,97211-1076,1,0.279506653,1,45.60038564,-122.6608023,,1,100
1346,SFR,97211-1076,1,0.278785268,2,45.60037095,-122.6607079,,2,200
1347,SFR,97211-1076,1,0.274527092,1,45.60035626,-122.6606136,,1,100
1348,SFR,97211-1076,1,0.290818371,1,45.60034179,-122.6605075,,1,100
1349,SFR,97211-1076,1,0.290537833,1,45.60032198,-122.6603934,,1,100
1352,SFR,97211-1066,1,0.281881212,1,45.60009134,-122.660111,,1,100
1353,SFR,97211-1066,1,0.289425697,2,45.60016587,-122.6600865,,2,200
1354,SFR,97211-1066,1,0.289145159,1,45.60023211,-122.6600656,,1,100
1355,SFR,97211-1066,1,0.313391712,2,45.60029835,-122.6600446,,2,200
1356,SFR,97211-1066,1,0.313391712,1,45.60036733,-122.6600238,,1,100
1357,SFR,97211-1066,1,0.30935396,1,45.60043357,-122.6600029,,1,100
1358,SFR,97211-1066,1,0.30935396,2,45.60049981,-122.659982,,2,200
1359,SFR,97211-1066,1,0.30935396,1,45.60056605,-122.659961,,1,100
1360,SFR,97211-1066,1,0.313391712,2,45.60063229,-122.6599401,,2,200
1361,SFR,97211-1066,1,0.313391712,1,45.60070127,-122.6599193,,1,100
1362,SFR,97211-1030,1,0.314052982,2,45.60076751,-122.6598984,,2,200
1363,SFR,97211-1030,1,0.28912512,2,45.60083367,-122.6598813,,2,200
1364,SFR,97211-1030,1,0.28912512,0,45.6009051,-122.6598762,,0,0
1367,MFR,97211-1149,33.079,0.350200326,0,45.59897998,-122.660268,,0,0
1372,SFR,97211-1116,1,0.322048333,2,45.59890757,-122.6576935,,2,200
1373,SFR,97211-1116,1,0.27940646,1,45.59883113,-122.6575265,,1,100
1374,SFR,97211-1119,1,0.274497034,1,45.59875485,-122.6573516,,1,100
1375,SFR,97211-1119,1,0.29294245,0,45.59868123,-122.6571808,,0,0
1376,SFR,97211-1119,1,0.266982607,1,45.59860754,-122.6570138,,1,100
1378,SFR,97211-1119,1,0.260179545,0,45.59846846,-122.6566763,,0,0
1379,SFR,97211-1574,1,0.330805146,1,45.59910782,-122.6562316,,1,100
1380,SFR,97211-1574,1,0.281229962,0,45.59917595,-122.6564023,,0,0
1381,SFR,97211-1573,1,0.306338169,2,45.59924431,-122.6565612,,2,200
1382,SFR,97211-1573,1,0.332889147,2,45.59933653,-122.6567641,,2,200
1383,SFR,97211-1573,1,0.30305186,1,45.59946181,-122.6566672,,1,100
1384,SFR,97211-1573,1,0.281841135,1,45.59958679,-122.656586,,1,100
1385,SFR,97211-1573,1,0.31893235,2,45.59972304,-122.6564895,,2,200
1387,SFR,97211-1572,1,0.301088089,2,45.59987621,-122.6559286,,2,200
1388,SFR,97211-1572,1,0.295858047,0,45.59960928,-122.6561178,,0,0
1389,SFR,97211-1572,1,0.329192049,2,45.59955248,-122.6559281,,2,200
1390,SFR,97211-1574,1,0.290086967,1,45.59937467,-122.6560464,,1,100
1391,SFR,97211-1574,1,0.27783344,1,45.59944259,-122.6562287,,1,100
1446,SFR,97211-1528,1,0.758546409,1,45.60011034,-122.651482,,1,100
1447,SFR,97211-1528,1,0.418673854,1,45.60014632,-122.6519054,,1,100
1448,SFR,97211-1558,1,0.411650369,2,45.59974435,-122.6516869,,2,200
1449,SFR,97211-1560,1,0.97058352,0,45.5992109,-122.6516042,,0,0
1450,SFR,97211-1570,1,0.317329272,2,45.5986903,-122.6527413,,2,200
1451,SFR,97211-1570,1,0.294615662,2,45.59877401,-122.6529594,,2,200
1452,SFR,97211-1570,1,0.288894678,2,45.59884497,-122.6531262,,2,200
1453,SFR,97211-1570,1,0.29241143,0,45.59891592,-122.6532931,,0,0
1454,SFR,97211-1570,1,0.268425377,2,45.59898962,-122.65346,,2,200
1455,SFR,97211-1570,1,0.290096986,1,45.59906057,-122.6536269,,1,100
1456,SFR,97211-1570,1,0.28834362,1,45.59913153,-122.6537937,,1,100
1457,SFR,97211-1571,1,0.290718179,1,45.59920248,-122.6539606,,1,100
1458,SFR,97211-1571,1,0.324733488,0,45.59927618,-122.6541275,,0,0
1459,SFR,97211-1571,1,0.281841135,0,45.5993472,-122.6542905,,0,0
1460,SFR,97211-1571,1,0.268756012,2,45.59941816,-122.6544573,,2,200
1461,SFR,97211-1571,1,0.314263386,2,45.59949437,-122.6546361,,2,200
1462,SFR,97211-1571,1,0.309814845,0,45.59955125,-122.6548219,,0,0
1463,SFR,97211-1572,1,0.298232607,1,45.59960272,-122.6550037,,1,100
1464,SFR,97211-1572,1,0.276731324,2,45.59965419,-122.6551854,,2,200
1465,SFR,97211-1572,1,0.278314364,2,45.59970847,-122.6553634,,2,200
1466,SFR,97211-1572,1,0.266311318,1,45.59975994,-122.6555451,,1,100
1467,SFR,97211-1572,1,0.267062761,1,45.5998114,-122.6557268,,1,100
1468,SFR,97211-1572,1,0.280278134,0,45.5994982,-122.6557501,,0,0
1469,SFR,97211-1572,1,0.281841135,2,45.59944118,-122.6555721,,2,200
1470,SFR,97211-1572,1,0.315836406,2,45.5993843,-122.6553862,,2,200
1472,SFR,97211-1571,1,0.336566207,0,45.59927306,-122.6550263,,0,0
1474,SFR,97211-1571,1,0.303322379,0,45.59914278,-122.6546579,,0,0
1475,SFR,97211-1571,1,0.329472587,2,45.59907739,-122.6544874,,2,200
1478,SFR,97211-1570,1,0.306698862,1,45.59887297,-122.6539754,,1,100
1480,SFR,97211-1570,1,0.304133937,2,45.59873944,-122.6536342,,2,200
1481,SFR,97211-1570,1,0.306157823,1,45.5986713,-122.6534636,,1,100
1482,SFR,97211-1575,1,0.311958961,0,45.59876857,-122.6542763,,0,0
1483,SFR,97211-1575,1,0.268756012,0,45.59883115,-122.6544506,,0,0
1484,SFR,97211-1575,1,0.337688362,2,45.59889099,-122.6546249,,2,200
1485,SFR,97211-1575,1,0.290387544,2,45.59895357,-122.6547992,,2,200
1486,SFR,97211-1575,1,0.261732526,1,45.59901334,-122.6549774,,1,100
1487,SFR,97211-1574,1,0.28650008,2,45.59907318,-122.6551516,,2,200
1488,SFR,97211-1574,1,0.318882254,1,45.5991302,-122.6553297,,1,100
1489,SFR,97211-1574,1,0.307590574,0,45.59918982,-122.6555156,,0,0
1490,SFR,97211-1574,1,0.281841135,2,45.59925226,-122.6556978,,2,200
1491,SFR,97211-1574,1,0.30816167,1,45.59931484,-122.6558721,,1,100
1492,SFR,97211-1574,1,0.329472587,2,45.59904242,-122.6560611,,2,200
1493,SFR,97211-1574,1,0.315505771,2,45.59897429,-122.6558904,,2,200
1494,SFR,97211-1574,1,0.281841135,2,45.59890897,-122.655716,,2,200
1495,SFR,97211-1574,1,0.309363979,2,45.59884927,-122.6555339,,2,200
1496,SFR,97211-1574,1,0.309604441,2,45.59879225,-122.6553559,,2,200
1497,SFR,97211-1575,1,0.329192049,2,45.59873515,-122.6551818,,2,200
1505,SFR,97211-1553,1,0.59467177,1,45.59789285,-122.6523983,,1,100
1506,SFR,97211,1,0.889207278,1,45.597336,-122.6523928,,1,100
1507,SFR,97211-1146,1,0.471445175,0,45.59753556,-122.6530179,,0,0
1508,SFR,97211-1146,1,0.360011222,2,45.59762809,-122.6534982,,2,200
1509,SFR,97211-1144,1,0.396561398,0,45.59806324,-122.6548748,,0,0
1510,SFR,97211-1143,1,0.519216896,1,45.59749914,-122.6558422,,1,100
1511,SFR,97211-1143,1,0.437029096,2,45.59739145,-122.6554394,,2,200
1512,SFR,97211-1143,1,0.344942289,2,45.59731736,-122.6551474,,2,200
1513,SFR,97211-1143,1,0.271481244,1,45.59726849,-122.6549736,,1,100
1514,SFR,97211-1145,1,0.437960885,1,45.59734263,-122.6545309,,1,100
1515,SFR,97211-1134,1,0.43422371,0,45.59709284,-122.6548301,,0,0
1516,SFR,97211-1134,1,0.457808993,1,45.59701838,-122.6545576,,1,100
1517,SFR,97211-1145,1,0.331326146,1,45.59701908,-122.6540809,,1,100
1518,SFR,97211-1147,1,0.326607086,1,45.59684763,-122.6535663,,1,100
1519,SFR,97211-1147,1,0.488548012,1,45.59683984,-122.6529563,,1,100
1520,SFR,97211-1123,1,0.258897082,0,45.59646789,-122.6530399,,0,0
1521,SFR,97211-1128,1,0.443812119,2,45.59674659,-122.6525151,,2,200
1522,SFR,97211-1128,1,0.490872475,0,45.59665402,-122.6521833,,0,0
1523,SFR,97211,1,0.59702629,1,45.59626691,-122.6523444,,1,100
1524,SFR,97211-1564,1,0.391351395,0,45.59556492,-122.6515909,,0,0
1525,SFR,97211-1564,1,0.592627845,2,45.59529054,-122.6515922,,2,200
1526,SFR,97211-1172,1,0.336405899,2,45.59568041,-122.6523104,,2,200
1527,SFR,97211-1563,1,0.711425938,0,45.59540512,-122.652214,,0,0
1528,SFR,97211-1563,1,0.559133536,1,45.59538845,-122.6525182,,1,100
1529,SFR,97211-1563,1,0.625050096,0,45.59503862,-122.6524463,,0,0
1530,SFR,97211-1172,1,0.610321818,0,45.5955384,-122.6530085,,0,0
1531,SFR,97211-1170,1,0.361043203,0,45.59590396,-122.6534132,,0,0
1532,SFR,97211-1170,1,0.646411109,2,45.59608341,-122.6539398,,2,200
1534,SFR,97211-1169,1,0.494078631,2,45.59626286,-122.6544664,,2,200
1535,SFR,97211,1,0.31695856,2,45.59639551,-122.6548544,,2,200
1536,SFR,97211-1167,1,0.438752405,2,45.59645894,-122.6551304,,2,200
1538,SFR,97211-1167,1,0.577979721,1,45.59658051,-122.6556705,,1,100
1539,SFR,97211-1167,1,0.35451066,2,45.59663296,-122.655946,,2,200
1540,SFR,97211-1165,1,0.35162512,1,45.59669357,-122.6562258,,1,100
1541,SFR,97211-1119,1,0.257474351,2,45.59840025,-122.6565096,,2,200
1543,SFR,97211-1124,1,0.302090013,1,45.59825893,-122.6561446,,1,100
1544,SFR,97211-1124,1,0.293363257,1,45.59819924,-122.6559626,,1,100
1545,SFR,97211-1124,1,0.259357967,0,45.59813948,-122.6557844,,0,0
1546,SFR,97211-1124,1,0.257564524,0,45.59808253,-122.6556025,,0,0
1547,SFR,97211-1124,1,0.256201908,0,45.59802825,-122.6554246,,0,0
1548,SFR,97211-1124,1,0.257494389,1,45.59797404,-122.6552427,,1,100
1549,SFR,97211-1144,1,0.263716335,0,45.59780918,-122.6546698,,0,0
1551,SFR,97211-1144,1,0.270369109,0,45.59768274,-122.6542429,,0,0
1552,SFR,97211-1144,1,0.356364219,1,45.59762348,-122.6540374,,1,100
1553,SFR,97211-1144,1,0.361373838,2,45.59756422,-122.6538319,,2,200
1554,SFR,97211-1575,1,0.320705755,2,45.59867813,-122.6550037,,2,200
1555,SFR,97211-1575,1,0.322569333,2,45.5986211,-122.6548257,,2,200
1556,SFR,97211-1575,1,0.311548172,1,45.59856408,-122.6546476,,1,100
1557,SFR,97211-1575,1,0.306698862,0,45.5985098,-122.6544697,,0,0
1558,SFR,97211-1575,1,0.311367826,2,45.59845277,-122.6542917,,2,200
1559,SFR,97211-1575,1,0.302580955,2,45.59839575,-122.6541136,,2,200
1560,SFR,97211-1576,1,0.306117746,0,45.59834146,-122.6539357,,0,0
1561,SFR,97211-1576,1,0.30055707,2,45.59828451,-122.6537537,,2,200
1562,SFR,97211-1576,1,0.295858047,2,45.59822511,-122.6535561,,2,200
1565,SFR,97211-1575,1,0.28834362,2,45.59870599,-122.654102,,2,200
1566,SFR,97211-1575,1,0.301488859,1,45.59864615,-122.6539277,,1,100
1567,SFR,97211-1576,1,0.307440285,1,45.59858357,-122.6537534,,1,100
